File output_ga/all/ga_setpack_superheavy_new_mut_10_log,csv
elapsed_time;max_gen_reached
179,157447;False
corr_threshold;cxpb;db;divfac;divstep;elsize;k;lang;max_no_improv;maxs;metric;mincxpb;mins;mutpb;muttype;ngen;pltfile;pltvar;pop;save_log;seed;selec;toursize;verbose;wo
0,7;0,8;all;0,5;0,1;0,5;10;pt;0,2;36;sc;0,8;3;0,02;0,1;300;None;False;50;True;-1;bin;0,2;True;False
Solutions
evaluation;kills;deaths;assists;denies;gold_per_min;xp_per_min;hero_damage;hero_healing;last_hits;firstblood_claimed;obs_placed;rune_pickups;sen_placed;teamfight_participation;tower_damage;towers_killed;neutral_kills;tower_kills;lane_kills;roshan_kills;necronomicon_kills;courier_kills;observer_kills;sentry_kills;ancient_kills;camps_stacked;gold_spent;pings;roshans_killed;stuns;buyback_count;observer_uses;sentry_uses;lane_efficiency;purchase_tpscroll;actions_per_min;origin;generation
-0,040277;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;initial;0
0,019145;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;initial;0
0,135051;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;1;0;initial;0
0,120730;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;1;0;1;0;1;0;0;1;initial;0
0,104871;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;1;initial;0
0,131482;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;initial;0
0,143942;0;1;1;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;initial;0
0,130804;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;1;0;0;initial;0
0,141779;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;1;0;0;0;0;initial;0
0,147546;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;initial;0
0,152682;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;1;0;0;0;0;initial;0
0,160090;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;initial;0
0,116589;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;initial;0
0,143095;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;initial;0
0,142230;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;1;0;1;0;0;0;1;initial;0
0,135524;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;1;0;initial;0
0,157789;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;0;0;1;initial;0
0,182978;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;initial;0
0,135756;0;1;1;0;0;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;initial;0
0,034953;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;initial;0
0,098165;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;initial;0
0,125460;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;1;initial;0
0,139159;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;initial;0
0,159922;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;initial;0
0,133325;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;initial;0
-0,235686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;initial;0
0,159761;0;1;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;initial;0
0,171581;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;initial;0
-0,187266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;initial;0
0,148480;0;1;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;initial;0
0,132807;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;initial;0
0,172126;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;initial;0
0,021478;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;initial;0
0,156406;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;initial;0
0,153873;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;1;0;1;0;0;0;0;1;initial;0
0,119075;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;initial;0
0,125105;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;1;0;1;0;0;0;1;initial;0
0,134971;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;1;0;1;0;initial;0
0,174464;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;initial;0
0,141010;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;initial;0
0,187420;1;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;initial;0
0,152717;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;initial;0
0,144835;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;initial;0
0,129636;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;1;1;0;1;0;0;0;1;initial;0
0,170310;0;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;1;0;0;0;0;0;1;initial;0
0,144757;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;initial;0
-0,045059;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;initial;0
0,123629;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;1;0;initial;0
0,144265;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;initial;0
-0,040546;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;initial;0
-0,966238;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;crossover;1
-0,573678;0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;1;1;0;1;0;0;0;1;crossover;1
0,148469;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;1;0;crossover;1
-0,549095;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;crossover;1
-0,543549;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;crossover;1
0,147439;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;1;0;0;0;0;0;1;crossover;1
0,162674;0;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;crossover;1
0,131669;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;crossover;1
-1,761248;0;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;1;1;0;1;0;0;1;1;mutation;1
-0,602412;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;mutation;1
0,158011;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;1;0;1;0;0;0;1;crossover;1
0,154858;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;crossover;1
0,080905;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;1;crossover;1
-1,235365;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;crossover;1
-1,255278;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;crossover;2
0,163623;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;crossover;2
0,167731;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;1;0;crossover;2
-0,586416;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;crossover;2
-0,553917;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;crossover;2
-0,957315;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;crossover;2
0,140006;0;1;1;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;crossover;2
-0,542048;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;crossover;2
0,154398;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;crossover;2
0,094707;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;crossover;2
-0,523865;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;crossover;2
-1,225446;0;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;0;0;1;crossover;2
0,140903;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;crossover;2
0,153872;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;crossover;2
0,090450;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;crossover;2
-0,945100;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;crossover;2
-0,500243;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;crossover;2
-0,543877;0;1;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;crossover;2
0,092576;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;crossover;2
0,133090;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;crossover;3
-0,526705;0;1;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;crossover;3
0,115096;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;crossover;3
-0,570605;1;1;1;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;crossover;3
0,148961;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;crossover;3
0,138029;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;crossover;3
-1,230749;0;1;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;0;1;1;1;0;1;0;crossover;3
0,181172;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;crossover;3
-0,940579;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;crossover;3
-0,534044;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;crossover;3
0,132763;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;crossover;3
-0,952296;1;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;1;crossover;3
-0,548908;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;0;1;1;0;0;0;0;crossover;3
-0,597497;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;crossover;3
0,166977;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;crossover;3
-0,951405;0;1;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;crossover;3
0,094596;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;crossover;3
0,158445;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;crossover;4
0,163339;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;crossover;4
0,094960;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;crossover;4
0,181156;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;crossover;4
0,144822;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;crossover;4
0,154686;1;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;crossover;4
-0,549693;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;crossover;4
0,132421;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;crossover;4
0,173893;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;0;0;1;crossover;4
-0,539243;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;1;0;crossover;4
0,117660;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;1;0;1;0;0;0;0;1;crossover;4
-0,503627;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;crossover;4
0,169018;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;crossover;4
0,175902;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;crossover;5
0,073372;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;1;crossover;5
-0,938615;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;crossover;5
0,162714;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;crossover;5
0,185885;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;crossover;5
0,154039;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;0;1;crossover;5
0,192625;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;crossover;5
0,128309;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;crossover;5
0,046985;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;crossover;5
-0,939780;1;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;crossover;5
-1,217277;0;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;crossover;6
0,190175;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;crossover;6
0,159624;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;crossover;6
-0,542528;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;crossover;6
0,190318;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;crossover;6
0,181060;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;crossover;6
0,161184;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;crossover;6
0,165742;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;crossover;7
0,170348;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;crossover;7
0,169358;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;crossover;7
0,168663;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1;crossover;7
0,159652;0;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;crossover;7
-0,521185;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;crossover;7
0,173636;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;crossover;7
0,143656;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;1;0;crossover;7
0,179008;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;crossover;7
0,163576;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;1;0;0;0;0;0;1;crossover;7
0,164401;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;crossover;7
0,178879;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;crossover;7
0,204888;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;crossover;8
0,177209;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;crossover;8
-0,543255;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;crossover;8
-1,217579;1;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;crossover;8
-0,559701;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;crossover;8
0,192174;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;crossover;8
