k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;cosine;3;6;0;0.750000;10;600.135073
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
deaths,gold_per_min,hero_healing;0,209051;1;3;0
deaths,xp_per_min,hero_healing;0,196981;1;3;0
deaths,assists,gold_per_min,hero_healing;0,168042;1;4;0
deaths,gold_per_min,hero_damage,hero_healing;0,165333;1;4;0
deaths,hero_healing,last_hits;0,165165;1;3;0
deaths,assists,hero_healing,last_hits;0,137557;1;4;0
deaths,assists,xp_per_min,hero_healing;0,129246;1;4;0
kills,deaths,denies,hero_healing;0,127104;1;4;0
deaths,assists,gold_per_min,hero_damage,hero_healing;0,122401;1;5;0
kills,deaths,hero_healing,last_hits;0,119368;1;4;0
deaths,assists,denies,hero_damage,hero_healing;0,115001;1;5;0
kills,deaths,assists,denies,hero_healing;0,105773;1;5;0
deaths,assists,gold_per_min,hero_damage;0,105111;1;4;0
deaths,denies,hero_damage,hero_healing;0,100428;1;4;0
kills,deaths,assists,hero_healing,last_hits;0,094750;1;5;0
deaths,assists,denies,hero_healing;0,094257;1;4;0
deaths,assists,gold_per_min;0,094063;1;3;0
deaths,assists,last_hits;0,091785;1;3;0
assists,gold_per_min,hero_damage,hero_healing;0,084137;1;4;0
kills,deaths,assists,last_hits;0,069460;1;4;0
kills,deaths,assists,hero_healing;0,068859;1;4;0
kills,assists,hero_healing,last_hits;0,066463;1;4;0
deaths,denies,hero_healing;0,063426;1;3;0
kills,deaths,hero_healing;0,063159;1;3;0
deaths,assists,xp_per_min;0,063094;1;3;0
assists,denies,hero_damage,hero_healing;0,061740;1;4;0
deaths,assists,denies,hero_damage;0,054676;1;4;0
deaths,gold_per_min,hero_damage;0,050570;1;3;0
kills,assists,denies,hero_healing;0,050349;1;4;0
assists,gold_per_min,hero_healing;0,046398;1;3;0
assists,xp_per_min,hero_healing;0,043294;1;3;0
kills,deaths,assists,denies;0,040054;1;4;0
assists,hero_healing,last_hits;0,039023;1;3;0
deaths,assists,hero_damage,hero_healing;0,036280;1;4;0
deaths,hero_damage,hero_healing;0,030512;1;3;0
deaths,assists,hero_damage;0,024352;1;3;0
deaths,assists,denies;0,016938;1;3;0
kills,deaths,assists;0,009852;1;3;0
kills,deaths,last_hits;0,004750;1;3;0
assists,denies,hero_healing;0,003826;1;3;0
assists,gold_per_min,hero_damage;-0,012801;1;3;0
kills,deaths,denies;-0,024120;1;3;0
assists,hero_damage,hero_healing;-0,026206;1;3;0
deaths,denies,hero_damage;-0,026997;1;3;0
kills,assists,hero_healing;-0,031884;1;3;0
assists,denies,hero_damage;-0,070537;1;3;0
deaths,assists,hero_healing;-0,077585;1;3;0
kills,assists,denies;-0,088476;1;3;0
kills,denies,hero_healing;-0,089784;1;3;0
kills,assists,last_hits;-0,090014;1;3;0
kills,hero_healing,last_hits;-0,109722;1;3;0
gold_per_min,hero_damage,hero_healing;-0,113669;1;3;0
denies,hero_damage,hero_healing;-0,139255;1;3;0
deaths,denies,gold_per_min,hero_healing;-0,515425;0;4;1
deaths,denies,hero_healing,last_hits;-0,524051;0;4;1
deaths,denies,xp_per_min,hero_healing;-0,527251;0;4;1
deaths,gold_per_min,hero_healing,last_hits;-0,536258;0;4;1
kills,deaths,gold_per_min,hero_healing;-0,537768;0;4;1
deaths,denies,gold_per_min,hero_damage,hero_healing;-0,538358;0;5;1
deaths,xp_per_min,hero_healing,last_hits;-0,539672;0;4;1
deaths,xp_per_min,hero_damage,hero_healing;-0,543388;0;4;1
deaths,assists,gold_per_min,xp_per_min,hero_healing;-0,543669;0;5;1
deaths,assists,denies,gold_per_min,hero_healing;-0,545587;0;5;1
deaths,gold_per_min,xp_per_min,hero_healing;-0,550250;0;4;1
deaths,assists,xp_per_min,hero_healing,last_hits;-0,556171;0;5;1
kills,deaths,denies,hero_healing,last_hits;-0,561366;0;5;1
deaths,assists,denies,gold_per_min;-0,562936;0;4;1
deaths,assists,gold_per_min,hero_healing,last_hits;-0,565651;0;5;1
deaths,assists,denies,hero_healing,last_hits;-0,566693;0;5;1
kills,deaths,assists,gold_per_min,hero_healing;-0,567349;0;5;1
kills,deaths,assists,gold_per_min;-0,575162;0;4;1
deaths,assists,denies,gold_per_min,hero_damage,hero_healing;-0,575254;0;6;1
deaths,assists,denies,xp_per_min,hero_healing;-0,577264;0;5;1
kills,deaths,denies,hero_damage,hero_healing;-0,579577;0;5;1
deaths,assists,denies,xp_per_min;-0,580879;0;4;1
kills,deaths,assists,xp_per_min,hero_healing;-0,581764;0;5;1
deaths,hero_damage,hero_healing,last_hits;-0,588773;0;4;1
kills,deaths,assists,denies,hero_healing,last_hits;-0,589729;0;6;1
deaths,assists,denies,gold_per_min,hero_damage;-0,591282;0;5;1
deaths,assists,hero_damage,hero_healing,last_hits;-0,597394;0;5;1
kills,deaths,assists,denies,hero_damage,hero_healing;-0,597864;0;6;1
kills,deaths,xp_per_min,hero_healing;-0,598900;0;4;1
deaths,assists,gold_per_min,xp_per_min;-0,599464;0;4;1
deaths,assists,xp_per_min,hero_damage,hero_healing;-0,601395;0;5;1
deaths,assists,denies,last_hits;-0,601539;0;4;1
kills,deaths,hero_damage,hero_healing;-0,602368;0;4;1
deaths,assists,gold_per_min,last_hits;-0,604695;0;4;1
kills,assists,denies,hero_healing,last_hits;-0,607162;0;5;1
assists,denies,hero_healing,last_hits;-0,607947;0;4;1
kills,deaths,assists,xp_per_min;-0,609428;0;4;1
assists,denies,gold_per_min,hero_healing;-0,612459;0;4;1
assists,xp_per_min,hero_damage,hero_healing;-0,616832;0;4;1
assists,gold_per_min,hero_healing,last_hits;-0,619971;0;4;1
assists,xp_per_min,hero_healing,last_hits;-0,621472;0;4;1
deaths,assists,xp_per_min,last_hits;-0,622213;0;4;1
assists,denies,xp_per_min,hero_healing;-0,622220;0;4;1
assists,denies,gold_per_min,hero_damage,hero_healing;-0,626613;0;5;1
deaths,assists,hero_damage,last_hits;-0,634610;0;4;1
deaths,assists,xp_per_min,hero_damage;-0,636306;0;4;1
assists,hero_damage,hero_healing,last_hits;-0,639355;0;4;1
deaths,denies,gold_per_min,hero_damage;-0,639715;0;4;1
kills,deaths,assists,hero_damage,hero_healing;-0,639757;0;5;1
kills,deaths,assists,denies,last_hits;-0,639829;0;5;1
deaths,denies,gold_per_min;-0,640847;0;3;1
kills,assists,gold_per_min,hero_healing;-0,646570;0;4;1
kills,assists,denies,hero_damage,hero_healing;-0,649592;0;5;1
assists,gold_per_min,xp_per_min,hero_healing;-0,656697;0;4;1
deaths,denies,xp_per_min;-0,658667;0;3;1
deaths,gold_per_min,last_hits;-0,661958;0;3;1
kills,assists,xp_per_min,hero_healing;-0,667456;0;4;1
deaths,xp_per_min,hero_damage;-0,670893;0;3;1
kills,deaths,denies,last_hits;-0,671053;0;4;1
kills,assists,hero_damage,hero_healing;-0,672242;0;4;1
kills,deaths,assists,hero_damage;-0,677413;0;4;1
denies,xp_per_min,hero_healing;-0,679576;0;3;1
kills,deaths,assists,denies,hero_damage;-0,681906;0;5;1
deaths,xp_per_min,last_hits;-0,682444;0;3;1
kills,deaths,denies,hero_damage;-0,693577;0;4;1
kills,deaths,gold_per_min;-0,701713;0;3;1
xp_per_min,hero_healing,last_hits;-0,713532;0;3;1
deaths,denies,last_hits;-0,714092;0;3;1
assists,denies,gold_per_min;-0,714551;0;3;1
assists,denies,last_hits;-0,725146;0;3;1
assists,xp_per_min,hero_damage;-0,727366;0;3;1
kills,assists,denies,last_hits;-0,728192;0;4;1
kills,deaths,xp_per_min;-0,729177;0;3;1
assists,denies,xp_per_min;-0,729695;0;3;1
assists,xp_per_min,last_hits;-0,734459;0;3;1
assists,denies,gold_per_min,hero_damage;-0,734865;0;4;1
kills,deaths,hero_damage;-0,735380;0;3;1
deaths,hero_damage,last_hits;-0,735498;0;3;1
kills,assists,xp_per_min;-0,740435;0;3;1
kills,denies,hero_healing,last_hits;-0,744952;0;4;1
deaths,gold_per_min,xp_per_min;-0,746496;0;3;1
assists,hero_damage,last_hits;-0,748875;0;3;1
kills,assists,denies,hero_damage;-0,759767;0;4;1
kills,assists,gold_per_min;-0,760143;0;3;1
denies,gold_per_min,hero_healing;-0,760684;0;3;1
denies,gold_per_min,hero_damage,hero_healing;-0,770021;0;4;1
xp_per_min,hero_damage,hero_healing;-0,771134;0;3;1
kills,denies,hero_damage,hero_healing;-0,773442;0;4;1
assists,gold_per_min,last_hits;-0,783432;0;3;1
gold_per_min,hero_healing,last_hits;-0,787125;0;3;1
kills,xp_per_min,hero_healing;-0,798570;0;3;1
assists,gold_per_min,xp_per_min;-0,805113;0;3;1
kills,assists,hero_damage;-0,814199;0;3;1
kills,hero_damage,hero_healing;-0,824300;0;3;1
kills,gold_per_min,hero_healing;-0,828323;0;3;1
gold_per_min,xp_per_min,hero_healing;-0,836087;0;3;1
denies,hero_healing,last_hits;-0,843078;0;3;1
hero_damage,hero_healing,last_hits;-0,843094;0;3;1
denies,gold_per_min,hero_damage;-0,902369;0;3;1
kills,deaths,denies,gold_per_min,hero_healing;-0,932563;0;5;2
kills,denies,last_hits;-0,954894;0;3;1
kills,deaths,gold_per_min,hero_healing,last_hits;-0,956535;0;5;2
deaths,denies,xp_per_min,hero_damage,hero_healing;-0,957977;0;5;2
deaths,gold_per_min,xp_per_min,hero_damage,hero_healing;-0,958705;0;5;2
kills,deaths,denies,xp_per_min,hero_healing;-0,960995;0;5;2
kills,deaths,xp_per_min,hero_healing,last_hits;-0,961973;0;5;2
deaths,assists,gold_per_min,xp_per_min,hero_damage,hero_healing;-0,969063;0;6;2
deaths,gold_per_min,hero_damage,hero_healing,last_hits;-0,976020;0;5;2
kills,deaths,gold_per_min,hero_damage,hero_healing;-0,976787;0;5;2
deaths,assists,gold_per_min,hero_damage,hero_healing,last_hits;-0,977900;0;6;2
deaths,denies,hero_damage,hero_healing,last_hits;-0,978879;0;5;2
kills,deaths,assists,gold_per_min,hero_healing,last_hits;-0,981437;0;6;2
kills,deaths,assists,denies,gold_per_min,hero_healing;-0,989107;0;6;2
deaths,assists,denies,hero_damage,hero_healing,last_hits;-0,989186;0;6;2
kills,deaths,assists,gold_per_min,hero_damage,hero_healing;-0,994458;0;6;2
kills,deaths,assists,denies,xp_per_min,hero_healing;-0,998027;0;6;2
kills,deaths,assists,xp_per_min,hero_healing,last_hits;-0,999228;0;6;2
deaths,assists,gold_per_min,xp_per_min,hero_damage;-1,002389;0;5;2
deaths,assists,denies,xp_per_min,hero_damage,hero_healing;-1,002545;0;6;2
kills,denies,hero_damage;-1,007541;0;3;1
kills,deaths,assists,hero_damage,hero_healing,last_hits;-1,008492;0;6;2
deaths,assists,gold_per_min,hero_damage,last_hits;-1,011332;0;5;2
kills,deaths,hero_damage,hero_healing,last_hits;-1,011556;0;5;2
kills,deaths,assists,denies,gold_per_min;-1,019117;0;5;2
kills,deaths,assists,gold_per_min,last_hits;-1,023564;0;5;2
deaths,assists,denies,hero_damage,last_hits;-1,026066;0;5;2
deaths,gold_per_min,xp_per_min,hero_damage;-1,028251;0;4;2
kills,deaths,assists,gold_per_min,hero_damage;-1,031853;0;5;2
assists,denies,hero_damage,hero_healing,last_hits;-1,031859;0;5;2
kills,deaths,assists,xp_per_min,last_hits;-1,032341;0;5;2
kills,assists,xp_per_min,hero_healing,last_hits;-1,032450;0;5;2
assists,denies,xp_per_min,hero_damage,hero_healing;-1,035041;0;5;2
deaths,assists,denies,xp_per_min,hero_damage;-1,035468;0;5;2
assists,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,037506;0;5;2
kills,assists,denies,gold_per_min,hero_healing;-1,037691;0;5;2
kills,assists,denies,xp_per_min,hero_healing;-1,042672;0;5;2
kills,deaths,assists,denies,xp_per_min;-1,045101;0;5;2
assists,gold_per_min,hero_damage,hero_healing,last_hits;-1,049722;0;5;2
kills,deaths,assists,hero_damage,last_hits;-1,055795;0;5;2
kills,assists,gold_per_min,hero_healing,last_hits;-1,056297;0;5;2
deaths,denies,xp_per_min,hero_damage;-1,061109;0;4;2
kills,deaths,gold_per_min,last_hits;-1,064472;0;4;2
kills,assists,hero_damage,hero_healing,last_hits;-1,065792;0;5;2
kills,deaths,gold_per_min,hero_damage;-1,065971;0;4;2
deaths,gold_per_min,hero_damage,last_hits;-1,068119;0;4;2
kills,assists,gold_per_min,hero_damage,hero_healing;-1,068646;0;5;2
kills,deaths,denies,gold_per_min;-1,069122;0;4;2
kills,deaths,xp_per_min,last_hits;-1,069448;0;4;2
kills,deaths,denies,xp_per_min;-1,071223;0;4;2
kills,deaths,hero_damage,last_hits;-1,073326;0;4;2
deaths,denies,hero_damage,last_hits;-1,117433;0;4;2
assists,gold_per_min,xp_per_min,hero_damage;-1,126042;0;4;2
assists,gold_per_min,hero_damage,last_hits;-1,130255;0;4;2
assists,denies,xp_per_min,hero_damage;-1,140654;0;4;2
denies,xp_per_min,hero_damage,hero_healing;-1,141554;0;4;2
kills,denies,xp_per_min,hero_healing;-1,142302;0;4;2
kills,assists,denies,gold_per_min;-1,155776;0;4;2
kills,xp_per_min,hero_healing,last_hits;-1,157574;0;4;2
assists,denies,hero_damage,last_hits;-1,163450;0;4;2
kills,assists,denies,xp_per_min;-1,168049;0;4;2
kills,denies,gold_per_min,hero_healing;-1,171450;0;4;2
kills,assists,gold_per_min,hero_damage;-1,175079;0;4;2
kills,assists,xp_per_min,last_hits;-1,177008;0;4;2
kills,assists,hero_damage,last_hits;-1,178861;0;4;2
kills,assists,gold_per_min,last_hits;-1,180500;0;4;2
kills,hero_damage,hero_healing,last_hits;-1,192263;0;4;2
kills,gold_per_min,hero_healing,last_hits;-1,194680;0;4;2
gold_per_min,xp_per_min,hero_damage,hero_healing;-1,203889;0;4;2
deaths,denies,gold_per_min,hero_healing,last_hits;-1,204979;0;5;3
gold_per_min,hero_damage,hero_healing,last_hits;-1,208686;0;4;2
kills,gold_per_min,hero_damage,hero_healing;-1,223931;0;4;2
denies,hero_damage,hero_healing,last_hits;-1,225399;0;4;2
deaths,denies,xp_per_min,hero_healing,last_hits;-1,227183;0;5;3
deaths,denies,gold_per_min,xp_per_min,hero_healing;-1,229180;0;5;3
deaths,gold_per_min,xp_per_min,hero_healing,last_hits;-1,238197;0;5;3
kills,xp_per_min,last_hits;-1,238738;0;3;2
kills,denies,xp_per_min;-1,245415;0;3;2
denies,xp_per_min,hero_damage;-1,254489;0;3;2
deaths,assists,denies,gold_per_min,hero_healing,last_hits;-1,260826;0;6;3
kills,deaths,denies,gold_per_min,hero_damage,hero_healing;-1,261393;0;6;3
assists,denies,xp_per_min,hero_healing,last_hits;-1,268616;0;5;3
deaths,assists,denies,xp_per_min,hero_healing,last_hits;-1,270242;0;6;3
gold_per_min,hero_damage,last_hits;-1,270326;0;3;2
kills,deaths,gold_per_min,xp_per_min,hero_healing;-1,271996;0;5;3
